mC mH tb Zd Ze
2516.2776 1425.09 1.5 0.147733 0.146658
2516.2776 1525.09 1.5 0.143732 0.142745
2516.2776 1625.09 1.5 0.0926885 0.0925363
2516.2776 1725.09 1.5 0.148329 0.14724
2516.2776 1825.09 1.5 0.140998 0.140032
2516.2776 1925.09 1.5 0.135142 0.134262
2516.2776 2025.09 1.5 0.12825 0.127445
2516.2776 2125.09 1.5 0.106918 0.106361
2516.2776 2225.09 1.5 0.0783998 0.0780935
2516.2776 225.09 1.5 12.9999 9.57723
2516.2776 2325.09 1.5 0.0314845 0.0314357
2516.2776 2425.09 1.5 0.000651548 0.000651527
2516.2776 325.09 1.5 13.9067 10.1439
2516.2776 425.09 1.5 0.286719 0.282829
2516.2776 525.09 1.5 0.175327 0.173821
2516.2776 625.09 1.5 0.157713 0.156481
2516.2776 725.09 1.5 0.147444 0.146371
2516.2776 825.09 1.5 0.145226 0.144191
2516.2776 925.09 1.5 0.145511 0.144473
2616.2776 1025.09 1.5 0.124897 0.124132
2616.2776 1125.09 1.5 0.127014 0.126227
2616.2776 1225.09 1.5 0.126553 0.125772
2616.2776 125.09 1.5 6.0658 4.96444
2616.2776 1325.09 1.5 0.131165 0.130318
2616.2776 1425.09 1.5 0.128926 0.128107
2616.2776 1525.09 1.5 0.129931 0.129099
2616.2776 1625.09 1.5 0.129015 0.128193
2616.2776 1725.09 1.5 0.129291 0.128463
2616.2776 1825.09 1.5 0.0821623 0.0820276
2616.2776 1925.09 1.5 0.122231 0.121499
2616.2776 2025.09 1.5 0.11594 0.115303
2616.2776 2125.09 1.5 0.108697 0.108116
2616.2776 2225.09 1.5 0.0946356 0.0941898
2616.2776 225.09 1.5 11.1699 8.39385
2616.2776 2325.09 1.5 0.0654554 0.0652491
2616.2776 2425.09 1.5 0.0266447 0.0266095
2616.2776 2525.09 1.5 0.000554608 0.000554592
2616.2776 325.09 1.5 12.8155 9.4463
2616.2776 425.09 1.5 0.247177 0.244192
2616.2776 525.09 1.5 0.151456 0.150326
2616.2776 625.09 1.5 0.106738 0.106354
2616.2776 725.09 1.5 0.126505 0.125765
2616.2776 825.09 1.5 0.126351 0.125564
2616.2776 925.09 1.5 0.123325 0.122599
2716.2776 1025.09 1.5 0.109732 0.109134
2716.2776 1125.09 1.5 0.108001 0.107427
2716.2776 1225.09 1.5 0.085434 0.0852094
2716.2776 125.09 1.5 5.36498 4.45935
2716.2776 1325.09 1.5 0.110236 0.109638
2716.2776 1425.09 1.5 0.107495 0.106952
2716.2776 1525.09 1.5 0.112537 0.111911
2716.2776 1625.09 1.5 0.109897 0.109303
2716.2776 1725.09 1.5 0.112978 0.112344
2716.2776 1825.09 1.5 0.11184 0.111218
