mC mH tb Zd Ze
2716.2776 725.09 1.5 0.00034352 0.000343527
2716.2776 2225.09 1.5 0.000257311 0.000257328
2716.2776 525.09 1.5 0.000479594 0.000479601
2716.2776 625.09 1.5 0.000382057 0.000382017
2716.2776 2325.09 1.5 0.000222257 0.000222212
2616.2776 2525.09 1.5 8.00042e-06 1.62327e-05
2716.2776 125.09 1.5 0.108345 0.108335
2716.2776 1125.09 1.5 0.000303514 0.000303505
2616.2776 1025.09 1.5 0.000376383 0.000376336
2716.2776 1025.09 1.5 0.000307881 0.000307853
2616.2776 1125.09 1.5 0.000368399 0.000368381
2716.2776 1625.09 1.5 0.000298248 0.000298182
2716.2776 225.09 1.5 0.115184 0.115173
2716.2776 325.09 1.5 0.0992379 0.0992297
2716.2776 1925.09 1.5 0.000290236 0.000290266
2716.2776 1725.09 1.5 0.00029682 0.000296804
2716.2776 1825.09 1.5 0.000295315 0.000295334
2716.2776 1425.09 1.5 0.000298124 0.000298166
2716.2776 1225.09 1.5 0.000298022 0.00029805
2716.2776 1325.09 1.5 0.000300685 0.000300696
2716.2776 1525.09 1.5 0.000299206 0.000299158
2616.2776 2325.09 1.5 0.000194587 0.000194615
2616.2776 2025.09 1.5 0.000338694 0.00033868
2616.2776 2225.09 1.5 0.000272891 0.000272836
2616.2776 625.09 1.5 0.000464475 0.000464513
2616.2776 525.09 1.5 0.000586941 0.000586956
2616.2776 925.09 1.5 0.000383091 0.000383105
2616.2776 725.09 1.5 0.000421304 0.000421324
2616.2776 825.09 1.5 0.000396814 0.000396813
2616.2776 2125.09 1.5 0.000315881 0.000315893
2716.2776 2025.09 1.5 0.000286196 0.000286178
2716.2776 2125.09 1.5 0.000275684 0.000275726
2916.2776 1625.09 1.5 0.000206282 0.000206262
2816.2776 1925.09 1.5 0.00024543 0.000245362
2916.2776 425.09 1.5 0.000616686 0.000616669
2816.2776 1825.09 1.5 0.000246695 0.000246758
2916.2776 325.09 1.5 0.0680971 0.0680935
2916.2776 1725.09 1.5 0.000206314 0.000206304
2916.2776 225.09 1.5 0.080016 0.080011
2916.2776 1525.09 1.5 0.000206009 0.000206023
2916.2776 1325.09 1.5 0.00020695 0.0002069312816.2776 1425.09 1.5 0.000248883 0.00024886
2916.2776 625.09 1.5 0.000263237 0.000263293
2816.2776 2725.09 1.5 1.59733e-05 2.02738e-06
2816.2776 1225.09 1.5 0.000249759 0.000249796
2916.2776 125.09 1.5 0.0696023 0.0695988
2816.2776 1125.09 1.5 0.000250896 0.000250804
2816.2776 1325.09 1.5 0.000249329 0.000249385
2816.2776 625.09 1.5 0.000316012 0.000316004

2816.2776 2625.09 1.5 5.13834e-05 5.18135e-05
2816.2776 2525.09 1.5 0.000129148 0.000129204
2916.2776 825.09 1.5 0.000222764 0.000222803
2916.2776 725.09 1.5 0.000236075 0.000236162
2816.2776 2025.09 1.5 0.000242549 0.000242525
2816.2776 2125.09 1.5 0.00023748 0.000237558
2816.2776 1625.09 1.5 0.000247938 0.000247959
2816.2776 1725.09 1.5 0.000247748 0.00024777
